AÑO;CODIGO;DISTRITO;MUNICIPALIDAD;PROVINCIA;REGION;UBIGEO;AÑOS DE EDUCACION;CANON MINERO;ESPERANZA DE VIDA;FUNDICION;IDH;INGRESO FAMILIAR;MINERIA NO METALICA;MINERIA SUBTERRANEA;POBLACION 18 AÑOS;POBLACION;REFINERIA;TOTAL DE TRANSFERENCIAS
2008;18-301406;LARAOS;  MUNICIPALIDAD DISTRITAL DE LARAOS;YAUYOS;LIMA;151018;7.949122861;962530.26;71.96572316;;0.426597187;516.8230734;;1;73.35627025;940.5;;1486262.65
2008;08-301494;PUQUINA;  MUNICIPALIDAD DISTRITAL DE PUQUINA;GENERAL SANCHEZ CERRO;MOQUEGUA;180208;7.34667922;3370491.15;76.72662296;;0.394842333;407.8975198;1;;64.72659437;2927.5;;4915407.83
2008;03-301500;PACOCHA;  MUNICIPALIDAD DISTRITAL DE PACOCHA;ILO;MOQUEGUA;180303;13.29102875;493022.51;75.68522166;1;0.683298783;1132.100787;;;96.3763002;4269;1;647101.55
2008;04-301504;HUAYLLAY;  MUNICIPALIDAD DISTRITAL DE HUAYLLAY;PASCO;PASCO;190104;9.744249015;25066797.1;71.72956816;;0.442876145;544.2970057;;1;66.16879868;10859.5;;29468411.57
2008;08-301508;SAN FRANCISCO DE ASIS DE YARUSYACAN;  MUNICIPALIDAD DISTRITAL DE SAN FRANCISCO DE ASIS DE YARUSYACAN;PASCO;PASCO;190108;8.440153589;19426407.62;72.40007754;;0.342671684;277.2016773;;1;71.14686857;11075.5;;22502283.17
2008;13-301513;YANACANCHA;  MUNICIPALIDAD DISTRITAL DE YANACANCHA;PASCO;PASCO;190113;11.14930412;25765323.66;73.36325538;;0.460438419;461.9939735;;1;82.86943373;30038;;28730107.02
2008;01-301566;PAITA;  MUNICIPALIDAD PROVINCIAL DE PAITA;PAITA;PIURA;200501;8.880838673;455.12;73.95696143;;0.45743032;571.368468;1;;60.50353049;76749;;17624636.94
2008;02-301567;AMOTAPE;  MUNICIPALIDAD DISTRITAL DE AMOTAPE;PAITA;PIURA;200502;6.623663276;129.88;73.91235524;;0.373845587;398.3970891;1;;57.7142301;2331;;518785.78
2008;01-301587;SECHURA;  MUNICIPALIDAD PROVINCIAL DE SECHURA;SECHURA;PIURA;200801;7.387088273;1815.8;69.60556288;;0.373416425;445.4992088;1;;46.55845136;34972;;12977324
2008;02-301664;ANTAUTA;  MUNICIPALIDAD DISTRITAL DE ANTAUTA;MELGAR;PUNO;210802;6.533837711;5273223.66;67.23664595;;0.312630239;324.0933444;;1;49.05382707;4977.5;;12630651.67
2008;04-301684;CARACOTO;  MUNICIPALIDAD DISTRITAL DE CARACOTO;SAN ROMAN;PUNO;211104;4.561068978;438967.19;70.43556016;;0.224864805;161.7652735;1;;45.97154956;6068;;635124.68
2008;06-301690;QUIACA;  MUNICIPALIDAD DISTRITAL DE QUIACA;SANDIA;PUNO;211206;5.816134716;185705.69;67.47337191;;0.192169379;113.3119684;;1;36.0762551;2289;;252330.26
2008;01-301701;MOYOBAMBA;  MUNICIPALIDAD PROVINCIAL DE MOYOBAMBA;MOYOBAMBA;SAN MARTIN;220101;7.85309765;14183.43;73.31598399;;0.361908288;369.3927858;1;;48.37182752;68829.5;;14656.96
