AÑO;CODIGO;DISTRITO;MUNICIPALIDAD;PROVINCIA;REGION;UBIGEO;AÑOS DE EDUCACION;CANON MINERO;CANTIDADDEEMPRESAS;ESPERANZA DE VIDA;IDH;INGRESO FAMILIAR;POBLACION 18 AÑOS;POBLACION;TOTAL DE TRANSFERENCIAS
2005;09-301661;SANTA LUCIA;  MUNICIPALIDAD DISTRITAL DE SANTA LUCIA;LAMPA;PUNO;210709;5.947261418;300857.69;1;65.7357426;0.261325422;202.7500239;51.82122709;8226.5;384975.81
2005;07-301784;PALCA;  MUNICIPALIDAD DISTRITAL DE PALCA;TACNA;TACNA;230107;6.789010564;802205.4;1;73.1594697;0.320441216;284.0722057;59.25738953;1510.5;1148103.99
2005;02-301794;ILABAYA;  MUNICIPALIDAD DISTRITAL DE ILABAYA;JORGE BASADRE;TACNA;230302;10.73580022;28929585.76;1;72.75444648;0.524959884;695.4863735;74.7598234;6125.5;46528667.11
2006;06-300090;JANGAS;  MUNICIPALIDAD DISTRITAL DE JANGAS;HUARAZ;ANCASH;20106;4.868675123;4103851.01;1;68.73334117;0.259486055;218.4952474;48.63330469;4224;4105221.54
2006;14-300163;SAN MARCOS;  MUNICIPALIDAD DISTRITAL DE SAN MARCOS;HUARI;ANCASH;21014;7.058993375;40826966.45;1;69.30312196;0.268707093;218.6756619;33.90795902;13079.5;41007620.19
2006;03-300281;HUAQUIRCA;  MUNICIPALIDAD DISTRITAL DE HUAQUIRCA;ANTABAMBA;APURIMAC;30303;5.519277777;19266.52;1;62.65724158;0.181214161;159.5121453;14.46273423;1623.5;24226.83
2006;06-300308;CHALLHUAHUACHO;  MUNICIPALIDAD DISTRITAL DE CHALLHUAHUACHO;COTABAMBAS;APURIMAC;30506;4.376352369;78399.07;1;66.92774635;0.180025816;141.1909154;22.31597331;6447.5;100269.43
2006;27-300357;YARABAMBA;  MUNICIPALIDAD DISTRITAL DE YARABAMBA;AREQUIPA;AREQUIPA;40127;9.311046393;1595937.9;1;71.4126151;0.421724061;376.0596356;93.98362815;1027;1611873.52
2006;07-300374;CHALA;  MUNICIPALIDAD DISTRITAL DE CHALA;CARAVELI;AREQUIPA;40307;9.868127076;263795.27;1;72.23792027;0.390297824;394.3071132;47.40731909;4063;337801.94
2006;05-300399;CAYLLOMA;  MUNICIPALIDAD DISTRITAL DE CAYLLOMA;CAYLLOMA;AREQUIPA;40505;6.557706535;332749.24;1;67.480195;0.274035922;298.7055265;24.22127828;4668;377142.6
2006;08-300422;YANAQUIHUA;  MUNICIPALIDAD DISTRITAL DE YANAQUIHUA;CONDESUYOS;AREQUIPA;40608;7.4474118;960320.33;1;68.49798794;0.340196731;310.8241256;60.89877296;4327;1317825.17
2006;05-300483;CHAVIÑA;  MUNICIPALIDAD DISTRITAL DE CHAVIÑA;LUCANAS;AYACUCHO;50605;5.372603653;9793.95;1;67.5330242;0.218396377;154.9350635;37.18660355;2700.5;12668.09
2006;02-300501;CHUMPI;  MUNICIPALIDAD DISTRITAL DE CHUMPI;PARINACOCHAS;AYACUCHO;50702;4.966554849;28700.53;1;63.9139988;0.212485086;163.7708048;36.41818292;3144.5;36320.15
2006;01-300549;CAJAMARCA;  MUNICIPALIDAD PROVINCIAL DE CAJAMARCA;CAJAMARCA;CAJAMARCA;60101;9.170373368;50239652.95;1;71.81014238;0.360191507;303.5913589;60.31767354;170914.5;50279722.16
2006;05-300553;ENCAÑADA;  MUNICIPALIDAD DISTRITAL DE ENCAÑADA;CAJAMARCA;CAJAMARCA;60105;3.44284141;24959743.61;1;68.40177175;0.178261148;160.725125;21.33413034;25085.5;25053525.75
2006;02-300563;CACHACHI;  MUNICIPALIDAD DISTRITAL DE CACHACHI;CAJABAMBA;CAJAMARCA;60202;3.502723487;2779017.25;1;70.73638711;0.172189588;170.8619834;12.96061907;24100;2785104.89
2006;03-300622;HUALGAYOC;  MUNICIPALIDAD DISTRITAL DE HUALGAYOC;HUALGAYOC;CAJAMARCA;60703;4.365737684;2040223.01;1;69.26965759;0.198883409;162.9052348;25.59854567;17858.5;2044319.54
2006;03-300651;CALQUIS;  MUNICIPALIDAD DISTRITAL DE CALQUIS;SAN MIGUEL;CAJAMARCA;61103;3.947230134;747691.07;1;71.30938213;0.211349949;175.4756475;31.71653476;4913;749344.24
2006;04-300652;CATILLUC;  MUNICIPALIDAD DISTRITAL DE CATILLUC;SAN MIGUEL;CAJAMARCA;61104;4.202093049;393511.62;1;69.9532556;0.210451202;170.4771672;31.50788835;3729.5;394259.52
2006;07-300738;QUIÑOTA;  MUNICIPALIDAD DISTRITAL DE QUIÑOTA;CHUMBIVILCAS;CUSCO;80707;3.580155884;142907.74;1;64.9295464;0.165902904;131.9302263;27.74110625;4439;989396.37
2006;08-300739;VELILLE;  MUNICIPALIDAD DISTRITAL DE VELILLE;CHUMBIVILCAS;CUSCO;80708;4.809474315;265430.49;1;67.7055193;0.208715628;169.0080457;26.4866143;7932;1857862.76
2006;01-300740;ESPINAR;  MUNICIPALIDAD PROVINCIAL DE ESPINAR;ESPINAR;CUSCO;80801;7.403705632;13693701.17;1;68.422532;0.309772388;238.5743843;63.67854986;31544.5;17374824.58
2006;06-300857;OCOYO;  MUNICIPALIDAD DISTRITAL DE OCOYO;HUAYTARA;HUANCAVELICA;90606;7.059222904;217988.22;1;69.0374766;0.183756735;123.8791724;15.44134403;1488.5;567642.25
2006;04-300988;MARCONA;  MUNICIPALIDAD DISTRITAL DE MARCONA;NASCA;ICA;110304;10.99743389;3395136.18;2;74.81715508;0.464075057;484.2020471;67.71549825;13436.5;5196892.94
2006;08-301008;CHONGOS ALTO;  MUNICIPALIDAD DISTRITAL DE CHONGOS ALTO;HUANCAYO;JUNIN;120108;5.41454713;18027.32;1;68.54984215;0.286647471;237.1226963;65.45731002;2074;62146.64
2006;05-301112;MOROCOCHA;  MUNICIPALIDAD DISTRITAL DE MOROCOCHA;YAULI;JUNIN;120805;9.80832623;580545.62;1;69.875547;0.39227533;378.615041;59.64428872;6194;2478083.75
2006;07-301114;SANTA BARBARA DE CARHUACAYAN;  MUNICIPALIDAD DISTRITAL DE SANTA BARBARA DE CARHUACAYAN;YAULI;JUNIN;120807;7.039701179;98301.45;1;70.2238586;0.302487072;251.8887346;50.04325691;1619;434705.95
2006;14-301170;USQUIL;  MUNICIPALIDAD DISTRITAL DE USQUIL;OTUZCO;LA LIBERTAD;130614;3.538361703;3645331.09;1;71.60762405;0.191289963;198.7243696;16.11625768;26943.5;3860016.66
2006;08-301183;PARCOY;  MUNICIPALIDAD DISTRITAL DE PARCOY;PATAZ;LA LIBERTAD;130808;7.409594939;1866320.76;1;69.19885737;0.26034879;224.9259611;24.53084583;14149;3490753.55
2006;01-301189;HUAMACHUCO;  MUNICIPALIDAD PROVINCIAL DE SANCHEZ CARRION - HUAMACHUCO;SANCHEZ CARRION;LA LIBERTAD;130901;5.160769463;1131804.13;1;69.42271533;0.253745909;219.1403932;38.12007862;48979;1453806.15
2006;03-301199;CACHICADAN;  MUNICIPALIDAD DISTRITAL DE CACHICADAN;SANTIAGO DE CHUCO;LA LIBERTAD;131003;6.181182152;829769.4;1;71.55057956;0.267068917;246.8884313;26.64805641;5925;1288501.3
2006;02-301482;CARUMAS;  MUNICIPALIDAD DISTRITAL DE CARUMAS;MARISCAL NIETO;MOQUEGUA;180102;6.660985328;14956606.22;1;73.8675124;0.345052836;299.2521116;66.16176292;4629.5;20541102.97
2006;06-301486;TORATA;  MUNICIPALIDAD DISTRITAL DE TORATA;MARISCAL NIETO;MOQUEGUA;180106;9.3445577;36615598.86;1;74.44582848;0.452056043;483.8936782;71.59875962;7316.5;60640642.05
2006;09-301509;SIMON BOLIVAR;  MUNICIPALIDAD DISTRITAL DE SIMON BOLIVAR;PASCO;PASCO;190109;9.676542777;3095977.35;3;71.0166503;0.368233399;286.8064291;74.39918575;15558;7248830.93
2006;11-301511;TINYAHUARCO;  MUNICIPALIDAD DISTRITAL DE TINYAHUARCO;PASCO;PASCO;190111;9.5776764;1051548.71;1;70.8229769;0.367365801;293.3929174;70.18923178;5301.5;3244323.33
2006;05-301657;OCUVIRI;  MUNICIPALIDAD DISTRITAL DE OCUVIRI;LAMPA;PUNO;210705;7.507736897;146928.69;2;64.2357247;0.235059699;162.7412661;43.79458555;2422;178507.7
2006;09-301661;SANTA LUCIA;  MUNICIPALIDAD DISTRITAL DE SANTA LUCIA;LAMPA;PUNO;210709;5.947261418;394313.13;1;65.7357426;0.261325422;202.7500239;51.82122709;8226.5;471884.38
2006;07-301784;PALCA;  MUNICIPALIDAD DISTRITAL DE PALCA;TACNA;TACNA;230107;6.789010564;1406260.56;1;73.1594697;0.320441216;284.0722057;59.25738953;1510.5;1845464.16
2006;02-301794;ILABAYA;  MUNICIPALIDAD DISTRITAL DE ILABAYA;JORGE BASADRE;TACNA;230302;10.73580022;59378337.93;1;72.75444648;0.524959884;695.4863735;74.7598234;6125.5;87505626.16
2007;06-300090;JANGAS;  MUNICIPALIDAD DISTRITAL DE JANGAS;HUARAZ;ANCASH;20106;5.160130907;13656919.44;1;71.55;0.262934733;205.137295;48.69875205;4403;13665497.83
2007;14-300163;SAN MARCOS;  MUNICIPALIDAD DISTRITAL DE SAN MARCOS;HUARI;ANCASH;21014;7.30575521;211251661.2;1;71.34;0.267669354;203.6962243;33.95290303;13607;211646464.3
2007;03-300281;HUAQUIRCA;  MUNICIPALIDAD DISTRITAL DE HUAQUIRCA;ANTABAMBA;APURIMAC;30303;5.606896533;45034.18;1;66.56;0.173265266;127.8583741;14.82277288;1463;51570.71
2007;06-300308;CHALLHUAHUACHO;  MUNICIPALIDAD DISTRITAL DE CHALLHUAHUACHO;COTABAMBAS;APURIMAC;30506;4.596832885;191263.81;1;71.37;0.173929239;114.860556;22.42099612;7321;219173.17
2007;27-300357;YARABAMBA;  MUNICIPALIDAD DISTRITAL DE YARABAMBA;AREQUIPA;AREQUIPA;40127;9.539413344;3646317.16;1;73.83;0.417700321;343.2884971;94.06269394;1027;3664616.52
