AÑO;CODIGO;DISTRITO;MUNICIPALIDAD;PROVINCIA;REGION;UBIGEO;AÑOS DE EDUCACION;CANON MINERO;ESPERANZA DE VIDA;IDH;INGRESO FAMILIAR;METODOS DE EXPLOTACION;POBLACION 18 AÑOS;POBLACION;TOTAL DE TRANSFERENCIAS
2014;05-301808;SAN JACINTO;  MUNICIPALIDAD DISTRITAL DE SAN JACINTO;TUMBES;TUMBES;240105;8.09;;80.11;0.52;671.93;1.00;80.38;8541.50;4035217.99
2015;06-300090;JANGAS;  MUNICIPALIDAD DISTRITAL DE JANGAS;HUARAZ;ANCASH;20106;5.78;917496.72;80.48;0.40;463.41;1.00;53.15;4988.00;924495.66
2015;19-300349;SAN JUAN DE TARUCANI;  MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TARUCANI;AREQUIPA;AREQUIPA;40119;5.80;1285683.06;83.29;0.42;512.07;1.00;57.72;2179.00;1656344.58
2015;24-300354;UCHUMAYO;  MUNICIPALIDAD DISTRITAL DE UCHUMAYO;AREQUIPA;AREQUIPA;40124;10.44;13963383.97;80.78;0.63;982.31;1.00;78.80;12436.00;15843770.54
2015;27-300357;YARABAMBA;  MUNICIPALIDAD DISTRITAL DE YARABAMBA;AREQUIPA;AREQUIPA;40127;9.96;11474733.30;80.20;0.60;854.15;1.00;84.15;1125.00;20763786.42
2015;28-300358;YURA;  MUNICIPALIDAD DISTRITAL DE YURA;AREQUIPA;AREQUIPA;40128;8.71;13810461.26;77.84;0.56;803.29;1.00;81.08;25367.00;16137940.18
2015;01-300549;CAJAMARCA;  MUNICIPALIDAD PROVINCIAL DE CAJAMARCA;CAJAMARCA;CAJAMARCA;60101;9.44;28005518.01;72.31;0.55;906.39;1.00;65.63;246536.00;30360376.27
2015;06-300797;HUACHOCOLPA;  MUNICIPALIDAD DISTRITAL DE HUACHOCOLPA;HUANCAVELICA;HUANCAVELICA;90106;6.63;139676.37;65.40;0.41;764.47;1.00;36.51;2883.00;607998.54
2015;03-300887;CHINCHAO;  MUNICIPALIDAD DISTRITAL DE CHINCHAO;HUANUCO;HUANUCO;100103;3.57;11421.52;78.34;0.27;312.92;1.00;28.44;25862.00;40359.35
2015;12-301010;COLCA;  MUNICIPALIDAD DISTRITAL DE COLCA;HUANCAYO;JUNIN;120112;6.67;71475.64;71.27;0.43;576.63;1.00;60.27;2053.00;116208.60
2015;06-301255;CARABAYLLO;  MUNICIPALIDAD DISTRITAL DE CARABAYLLO;LIMA;LIMA;150106;9.76;682082.77;79.26;0.62;1029.39;1.00;73.81;301978.00;849550.39
2015;18-301267;LURIGANCHO;  MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA);LIMA;LIMA;150118;10.18;1527242.06;80.13;0.65;1134.65;1.00;75.49;218976.00;1685135.02
2015;19-301268;LURIN;  MUNICIPALIDAD DISTRITAL DE LURIN;LIMA;LIMA;150119;9.84;221748.14;79.49;0.65;1193.73;1.00;71.01;85132.00;316518.12
2015;23-301272;PACHACAMAC;  MUNICIPALIDAD DISTRITAL DE PACHACAMAC;LIMA;LIMA;150123;9.42;468821.83;78.19;0.60;1038.14;1.00;68.74;129653.00;582035.27
2015;43-301292;VILLA MARIA DEL TRIUNFO;  MUNICIPALIDAD DISTRITAL DE VILLA MARIA DEL TRIUNFO;LIMA;LIMA;150143;9.82;926343.29;80.56;0.65;1151.17;1.00;74.17;448545.00;1672951.62
2015;02-301482;CARUMAS;  MUNICIPALIDAD DISTRITAL DE CARUMAS;MARISCAL NIETO;MOQUEGUA;180102;7.20;16110242.00;75.89;0.51;773.21;1.00;68.41;5602.00;19351876.08
2015;06-301486;TORATA;  MUNICIPALIDAD DISTRITAL DE TORATA;MARISCAL NIETO;MOQUEGUA;180106;10.08;30591944.00;76.82;0.69;1486.92;1.00;71.79;5874.00;42521369.99
2015;04-301504;HUAYLLAY;  MUNICIPALIDAD DISTRITAL DE HUAYLLAY;PASCO;PASCO;190104;10.12;5069128.03;69.31;0.56;944.74;1.00;73.74;11412.00;11293849.49
2015;08-301508;SAN FRANCISCO DE ASIS DE YARUSYACAN;  MUNICIPALIDAD DISTRITAL DE SAN FRANCISCO DE ASIS DE YARUSYACAN;PASCO;PASCO;190108;8.81;2935172.12;73.32;0.51;690.54;1.00;76.29;9901.00;5557711.08
2015;09-301509;SIMON BOLIVAR;  MUNICIPALIDAD DISTRITAL DE SIMON BOLIVAR;PASCO;PASCO;190109;10.21;1465411.26;76.07;0.56;805.93;1.00;77.46;11913.00;3262434.67
2015;11-301511;TINYAHUARCO;  MUNICIPALIDAD DISTRITAL DE TINYAHUARCO;PASCO;PASCO;190111;10.33;528268.21;77.47;0.58;832.92;1.00;77.42;6286.00;1916305.64
2015;13-301513;YANACANCHA;  MUNICIPALIDAD DISTRITAL DE YANACANCHA;PASCO;PASCO;190113;11.32;2225624.82;77.00;0.58;780.11;1.00;81.52;30570.00;4208184.48
2015;01-301701;MOYOBAMBA;  MUNICIPALIDAD PROVINCIAL DE MOYOBAMBA;MOYOBAMBA;SAN MARTIN;220101;7.76;27905.94;73.43;0.48;746.34;1.00;52.85;83475.00;38140.60
2015;07-301784;PALCA;  MUNICIPALIDAD DISTRITAL DE PALCA;TACNA;TACNA;230107;8.25;3636864.38;76.23;0.48;626.68;1.00;60.57;1669.00;5154524.01
2015;05-301808;SAN JACINTO;  MUNICIPALIDAD DISTRITAL DE SAN JACINTO;TUMBES;TUMBES;240105;8.03;;80.56;0.54;739.18;1.00;77.43;8541.00;2263090.00
2016;06-300090;JANGAS;  MUNICIPALIDAD DISTRITAL DE JANGAS;HUARAZ;ANCASH;20106;5.67;1193534.87;81.44;0.42;521.40;1.00;55.52;4884.50;1554616.10
2016;19-300349;SAN JUAN DE TARUCANI;  MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TARUCANI;AREQUIPA;AREQUIPA;40119;5.61;74318.86;84.18;0.46;630.26;1.00;64.70;1778.00;1221386.07
2016;24-300354;UCHUMAYO;  MUNICIPALIDAD DISTRITAL DE UCHUMAYO;AREQUIPA;AREQUIPA;40124;10.22;257974.15;81.53;0.64;1034.74;1.00;78.69;13245.00;11221358.87
2016;27-300357;YARABAMBA;  MUNICIPALIDAD DISTRITAL DE YARABAMBA;AREQUIPA;AREQUIPA;40127;9.93;106985.17;80.66;0.62;971.75;1.00;78.70;1219.50;56168928.88
2016;28-300358;YURA;  MUNICIPALIDAD DISTRITAL DE YURA;AREQUIPA;AREQUIPA;40128;8.54;739346.87;78.17;0.57;897.68;1.00;79.75;29356.50;13774653.48
